temp,rh,so2,no2,co,pm10,pm2.5,o3,day,dow,death_total
2.9,63,17.1969697,27.51515152,0.47285,86.2746444,53.6038961,51.62995895,1,3,408
2.7,70,16.2962963,31.23229847,0.458355556,67.83333333,30.01587302,49.6125,2,4,392
-0.4,71,20.08333333,37.38636364,0.426822727,72.94897959,49.22077922,48.6125,3,5,385
1,73,15.90656566,46.24469697,0.459845455,64.56456401,38.35064935,43.08756552,4,6,370
2,75,13.4537037,37.17592593,0.36175,55.22619048,32.30952381,38.025,5,7,359
2.4,62,14.99563492,44.41687552,0.459957143,58.56301854,40.41632653,58.85416667,6,1,352
2.9,69,12.43506494,36.8262987,0.422236364,57.43493003,44.51846591,38.9,7,2,358
4.5,62,13.67002666,24.57513736,0.33978,53.40963522,41.13031914,50.77278846,8,3,414
4.3,64,14.63333333,37.24166667,0.289479167,46.2080314,28.70833333,51.325,9,4,380
2.2,63,17.73333333,53.14285714,0.401728571,61.23901742,51.51587302,59.05,10,5,384
4,72,16.48571429,40.76190476,0.444595238,86.96031746,76.71428571,67.2125,11,6,401
4.9,76,22.0875,30.75,0.43260625,61.82513598,63.1875,62.55,12,7,374
6.5,85,19.59,55.91,0.42283,66.48070175,39.65,51.74093251,13,1,394
5.3,77,45.9697076,88.16593567,0.620450585,142.5719542,109.3158869,44.775,14,2,405
5.3,80,62.33333333,113.9431818,1.017119048,235.0617453,205.1839827,40.68876292,15,3,358
4,73,24.35893246,48.94008715,0.604716667,100.2973545,102.1385281,44.3625,16,4,356
2.2,58,18.66666667,42.46052632,0.499347368,75.68079732,57.3049812,47.875,17,5,381
1.3,59,17.42301587,28.68541667,0.508728571,53.86471861,55.57823129,63.3875,18,6,402
4.2,71,24.56140351,33.75077399,0.387547368,57.77276525,36.29323308,70.4,19,7,333
10.7,79,17.87683824,36.4826546,0.394182353,50.2809874,26.39548319,24.1,20,1,389
8.2,86,17.46067821,44.35809175,0.345777273,40.85992579,22.28571429,10.4,21,2,393
4.5,77,29.22103175,76.65327381,0.675971429,77.63317222,72.25170068,34.5,22,3,368
4.2,71,70.58888889,104.6,1.188833333,233.9766028,177.9904762,44,23,4,353
2.3,82,57.5165692,102.8216374,1.094215789,263.1052632,144.2556391,28.4,24,5,342
3.7,55,50.62460317,57.54472456,0.595714762,193.6707483,77.19863946,53.2,25,6,347
3.9,75,48.21514161,61.66137566,0.619327778,83.25746965,51.14285714,59.1,26,7,380
4.5,65,65.66666667,79.71687552,0.779468421,123.3261555,82.90977444,61.6,27,1,331
6.3,61,69.99455338,108.6811966,0.842466667,172.2889823,123.0816993,81.9,28,2,391
